"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Brunei Darussalam","BRN","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","51.0189208984375","59.1133995056152","49.7114486694336","63.3027496337891","60.5351486206055","49.7119789123535","54.6816787719727","","54.4468002319336","51.6141014099121","47.9483184814453","46.7044410705566","49.4463195800781","","","","","31.3225193023682","31.450590133667","35.6800994873047","27.4412803649902","31.117639541626","34.8916397094727","27.0916805267334","","","","","","","","","","","","","","","","","46.7816314697266","","","","38.6853408813477","","60.8443489074707","",
"Bhutan","BTN","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","76.8744277954102","79.395637512207","","","41.4479103088379","","","64.2012100219727","58.9864196777344","","","","","","","","","","","","","","","","","","","","","","","","","","50.9436302185059","","","55.7344398498535","56.0199203491211","53.8764991760254","56.7391395568848","","54.5583000183105","55.677619934082","41.491138458252","","",
"Botswana","BWA","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","36.0661201477051","35.3538208007813","37.2558517456055","42.3867683410645","31.8777694702148","35.4492416381836","32.1637115478516","36.8576889038086","41.3419914245605","42.8309516906738","","","35.8368988037109","36.7425003051758","37.3643417358398","40.6015014648438","48.5967712402344","53.1632499694824","","52.828239440918","","51.6528205871582","","","","","","","","","","","","","39.6158905029297","","44.227481842041","","32.6954612731934","","","","","","","","",
"Central African Republic","CAF","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","14.8620100021362","","","","","","","","17.5501899719238","16.5814895629883","","","14.4382600784302","16.6534805297852","","","","","","","","","","","","","","","23.7161102294922","29.05006980896","25.913330078125","26.4522895812988","23.9950408935547","","","","","","","",
"Canada","CAN","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.4042491912842","","","","","","",
"Central Europe and the Baltics","CEB","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.6708354949951","","","49.202278137207","46.9623394012452","46.2015151977539","46.261058807373","45.1033401489258","44.689151763916","41.8620300292969","41.979434967041","40.6160507202148","40.2145805358887","37.8889598846436","37.780044555664","34.5054016113281","37.665771484375","","","",
"Switzerland","CHE","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","40.0960006713867","47.1671981811523","46.2891006469727","46.7021789550781","48.1862487792969","","","","","","","","","","","","","","","","24.3293209075928","25.385139465332","","45.8019104003906","46.0215492248535","46.448429107666","47.0268898010254","","40.378101348877","39.416561126709","39.4405708312988","39.0468215942383","38.2197608947754","36.4589385986328","35.6695594787598","37.6649589538574","37.5044593811035","38.1751403808594","45.3724212646484","41.4536094665527","41.2694816589355","39.8345413208008","39.1218414306641","38.8077011108398","37.6192588806152","","","",
"Channel Islands","CHI","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","9.69668006896973","13.2399301528931","","","16.2472801208496","16.9241905212402","17.1358795166016","14.8184099197388","","","","","","18.2144603729248","","","17.798189163208","","","13.6865501403809","18.0941009521484","16.8057098388672","19.6431503295898","19.5790596008301","33.2910995483398","","34.2698593139648","","35.3018684387207","38.3832588195801","38.008731842041","38.9964714050293","38.6039886474609","38.362060546875","37.8687896728516","35.2323608398438","32.5325202941895","32.4694595336914","","29.6516895294189","27.9754199981689","29.3654403686523","","",
"China","CHN","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","38.8097190856934","37.0620613098145","36.9008407592773","35.2818908691406","34.8044204711914","34.8292503356934","35.0100517272949","35.5686111450195","36.5595016479492","","","","38.1064605712891","40.2005386352539","36.0830383300781","28.3476295471191","38.4946517944336","","32.2301292419434","37.4124183654785","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","43.0620994567871","","45.7728004455566","39.1703910827637","36.3668785095215","40.0815887451172","41.7722396850586","","43.201488494873","44.1020584106445","39.5055503845215","","","","","","","","","","","","35.7112884521484","34.8502197265625","34.0265884399414","34.0363311767578","37.0707397460938","36.3822898864746","33.2525405883789","37.2643013000488","32.6651191711426","","","","","","30.5298690795898","30.3537902832031","31.2873592376709","34.3453483581543","33.0979614257813","32.7168083190918","33.6858215332031","33.882438659668","37.1813583374023","34.1986618041992","","",
"Cameroon","CMR","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","30.7863101959229","33.6882705688477","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.9920997619629","50.8558387756348","52.3956985473633","54.0865097045898","53.8921585083008","52.7390098571777","48.8697891235352","52.5531387329102","","","","","",
"Congo, Dem. Rep.","COD","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.7344284057617","","","14.3600301742554","","","","",
"Congo, Rep.","COG","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","37.8285713195801","37.4982490539551","","35.1785011291504","","39.7419395446777","","","27.9124393463135","33.7176284790039","30.1667594909668","","","","","","","","","","","","","","13.6055097579956","12.1107501983643","","","","","","","30.1688594818115","","","41.1903381347656","","","","","53.3316802978516","","","","","","","",
"Colombia","COL","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","28.1067600250244","28.0131797790527","26.8499908447266","","","30.0147590637207","31.2295608520508","","","","28.5986595153809","","","","","","","","","32.9893913269043","33.2602081298828","33.0705986022949","33.0276412963867","","","35.6968688964844","36.1276893615723","","25.9524402618408","40.2258186340332","35.014289855957","34.8201599121094","36.2583885192871","35.7023887634277","35.1148109436035","37.4959602355957","35.406078338623","34.6896209716797","34.6896209716797",
"Comoros","COM","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","37.5190505981445","","","","","","","","","","","","","","","","","","","","","","","","","","","41.2131614685059","","","","40.1203994750977","","","","","","23.6637706756592","","","27.5983009338379","27.8310203552246","27.9568290710449","28.5800304412842","27.6931304931641","","",
"Cabo Verde","CPV","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.8449096679688","","","","38.6265907287598","38.9938011169434","36.573299407959","32.9578018188477","","37.1747016906738","","40.2806587219238","38.0054016113281","39.5904312133789","40.8465309143066","39.9284706115723",
"Costa Rica","CRI","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","20.7279796600342","","15.554160118103","17.2637901306152","","","","","20.518669128418","20.9868698120117","","","","","","23.6233005523682","24.511360168457","","","29.1774291992188","28.0054492950439","30.6894207000732","31.8876895904541","","27.8271293640137","","30.0879096984863","31.3809394836426","30.9902400970459","31.2865505218506","31.51123046875","32.5651893615723","33.1230392456055","33.7004013061523","33.4440498352051","33.6808891296387","31.9965496063232","31.0729808807373",
"Caribbean small states","CSS","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","31.4944496154785","33.8268699645996","36.8848495483398","38.2309303283691","39.7848587036133","","","31.7925395965576","","38.5039710998535","32.5400581359863","31.5349292755127","32.9640407562256","32.7939682006836","","34.5539703369141","34.1211957931518","34.2405195236206","32.987548828125","34.216869354248","32.7328491210938","34.3908615112305","37.9947700500488","37.5720481872559","37.4875183105469","","","34.4629592895508","34.3736610412598","42.0546188354492","39.0525436401367","41.9187698364258","37.9723014831543","","35.166389465332","42.6324081420898","37.052188873291","36.5675201416016","39.7851791381836","39.1600189208984","39.7438087463379","31.4493598937988","39.4427185058594","38.9437484741211","38.9437484741211",
"Cuba","CUB","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.1476783752441","","41.6737785339355","42.2654304504395","","","","36.5317192077637","36.6957702636719","37.9622497558594","36.3906707763672","36.8222885131836","","35.7010116577148","37.6685104370117","38.8685493469238","36.0188789367676","29.3835792541504","28.4443397521973","29.1078090667725","","","","","","","",
"Curacao","CUW","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.9290390014648","","","","",
"Cayman Islands","CYM","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.5296516418457","54.0263481140137","","","","","","","","","","","",
"Cyprus","CYP","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","41.0110702514648","39.7451705932617","44.205020904541","47.1761093139648","49.4960403442383","51.1623687744141","52.0385818481445","51.850040435791","50.5096282958984","52.1356201171875","52.2304992675781","54.3177185058594","54.1506500244141","","53.2051811218262","52.6163291931152","52.1582717895508","51.3584403991699","51.7181015014648","52.8169708251953","51.970329284668","50.9311790466309","50.8981285095215","52.6726684570313","53.026309967041","52.2108192443848","","","","50.5518798828125","50.2908897399902","50.2545204162598","50","45.8654518127441","45.4998207092285","44.885181427002","43.8401718139648","43.7899589538574","42.4789199829102","41.3894691467285","43.0115699768066","42.6022300720215","","41.5348892211914","43.831859588623","","","",
"Czech Republic","CZE","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.8710708618164","54.4350204467773","53.3544082641602","49.6285285949707","","48.7353897094727","49.2479591369629","49.7488212585449","50.4644012451172","50.776309967041","50.543701171875","50.6998100280762","51.3121299743652","47.2089881896973","47.5243606567383","48.3272094726563","46.3852691650391","45.7332000732422","42.8135414123535","43.9723701477051","43.8687286376953","43.540901184082","","","",
"Germany","DEU","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.2733764648438","","","71.5182571411133","","44.459098815918","","","","","","","","47.1150093078613","47.1185989379883","46.0314598083496","46.2025985717773","45.5475616455078","44.5540084838867","43.1587600708008","42.5285110473633","41.9652709960938","","","",
"Djibouti","DJI","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","58.4101181030273","63.0471382141113","","","44.9895706176758","","","","","25.3686103820801","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.2825012207031","","","","","","","",
"Dominica","DMA","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.7254199981689","","","","","","","","","44.9063911437988","","","","","","","","","","","","","","","","","43.3707008361816","","",
"Denmark","DNK","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","17.2546005249023","17.9720096588135","18.3163299560547","20.9537906646729","","","","","","21.7636909484863","22.8313903808594","23.8661499023438","","","49.9237594604492","","41.6167793273926","39.2540016174316","39.1678314208984","38.6245498657227","","36.646728515625","37.2927017211914","36.7402496337891","33.9820899963379","34.2936782836914","34.6082000732422","34.9219703674316","36.347900390625","36.9859199523926","35.8083992004395","35.8946304321289","33.690071105957","34.5189781188965","32.1022796630859","37.9704513549805","32.4173889160156","40.0023002624512","","","",
"Dominican Republic","DOM","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","19.54421043396","","","","","","","","","","","","22.2993392944336","21.6241607666016","21.9837398529053","21.3686904907227","","","","","","","","16.2714900970459","","13.8851203918457","12.7526903152466","","","","","","","","","","","17.9536800384521","","","","","","","","","","",
"Algeria","DZA","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","25.3855991363525","23.8470993041992","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.4771709442139","33.660400390625","30.4703950881958","34.3273639678955","34.7442493438721","","","","",
"Early-demographic dividend","EAR","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.0548095703125","32.141489982605","34.6270847320557","35.1455116271973","34.8608436584473","34.7442493438721","36.5133743286133","","","",
"Europe & Central Asia (excluding high income)","ECA","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia","ECS","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.3912086486816","42.5606384277344","41.2226486206055","42.5164337158203","42.5331382751465","41.8620300292969","42.0927200317383","40.639820098877","40.9754199981689","39.5910606384277","37.9609565734863","38.4648284912109","40.0023002624512","","","",
"Ecuador","ECU","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","40.1337890625","43.4683113098145","","","","","","28.4063701629639","","","","","","","30.6734294891357","35.2526397705078","34.6521987915039","","","","","","","","","40.1307792663574","","","","39.6404495239258","34.5559997558594","","","","","","","","","10.7350997924805","10.4358901977539","11.137490272522","11.3125495910645","12.1753702163696","11.4402599334717","12.1114101409912","","",
"Egypt, Arab Rep.","EGY","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Euro area","EMU","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","36.9592094421387","39.3850593566895","36.9229640960694","","40.8863906860352","41.1249618530273","","42.711009979248","44.1005039215088","41.0848007202149","40.5711994171143","","40.8493309020996","44.125358581543","44.0608253479003","","43.1549453735352","40.8498802185059","42.2623882293702","46.2666206359863","43.8015899658203","45.6138305664063","44.6764602661133","","40.8961296081543","43.843490600586","43.7445487976074","42.8973808288574","43.3102607727051","44.3736114501953","45.4998207092285","43.4077796936035","43.4309558868408","42.9161415100098","42.7962493896484","43.1121711730957","42.7201843261718","42.2428798675538","40.0960636138916","40.9512538909912","40.3212509155273","","","",
"Eritrea","ERI","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.0092906951904","","","","","31.4721908569336","35.4122009277344","","21.0942096710205","","","","","","","","","","","","","",
